City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,hermanus,-34.4187,19.2345,9.89,56,93,6.74,ZA,1724859809
217,harstad,68.799,16.5293,12.56,90,100,9.83,NO,1724859830
218,turkmenbasy,40.0222,52.9552,33.43,15,0,10.29,TM,1724859831
219,labytnangi,66.6572,66.4183,13.22,60,71,3.56,RU,1724859832
220,dhuusamarreeb,5.535,46.3861,31.1,47,82,8.76,SO,1724859833
221,lazaro cardenas,17.9583,-102.2,29.63,68,83,0.94,MX,1724859835
222,la passe,45.5549,-0.8967,23.54,63,59,4.17,FR,1724859836
223,mahina,-17.5065,-149.489,23.87,73,40,1.54,PF,1724859837
224,codrington,-38.2667,141.9667,9.87,75,100,6.94,AU,1724859838
225,quellon,-43.1167,-73.6167,9.37,76,6,4.32,CL,1724859839
226,lagoa,39.05,-27.9833,22.67,71,21,4.24,PT,1724859840
227,kiunga,-6.1219,141.2906,22.87,97,97,1.0,PG,1724859842
228,tongchuanshi,35.0806,109.0897,21.86,62,40,2.59,CN,1724859843
229,mir bachah kot,34.75,69.119,23.44,24,12,3.49,AF,1724859845
230,garachico,28.7781,-17.7646,24.16,64,75,6.69,ES,1724859846
231,malango,-2.9627,119.9001,18.12,99,69,0.75,ID,1724859847
232,gambela,8.25,34.5833,24.41,87,97,2.04,ET,1724859848
233,saint croix,17.7397,-64.7388,31.64,70,75,7.2,VI,1724859849
234,spring creek,40.7266,-115.5859,18.23,20,0,1.04,US,1724859850
235,kabinda,-6.1333,24.4833,33.0,22,61,1.82,CD,1724859851
236,karoi,-16.8099,29.6925,23.51,22,4,1.02,ZW,1724859852
237,hobyo,5.3505,48.5268,25.96,82,6,10.05,SO,1724859853
238,kavaratti,10.5669,72.642,27.13,88,86,4.85,IN,1724859855
239,callaway,30.153,-85.5699,32.77,71,20,1.34,US,1724859856
240,ngardmau,7.6099,134.5744,25.21,79,100,1.21,PW,1724859857
241,kudahuvadhoo,2.6708,72.8944,28.58,74,62,2.48,MV,1724859858
242,karagandy,49.8019,73.1021,9.97,56,17,3.89,KZ,1724859859
243,constantia,44.1833,28.65,26.38,58,66,1.96,RO,1724859596
244,petrich,41.4,23.2167,27.77,37,98,1.57,BG,1724859862
245,armavir,44.9892,41.1234,28.18,33,0,6.26,RU,1724859863
246,ust'-ilimsk,58.0006,102.6619,9.25,98,82,1.16,RU,1724859865
247,ulladulla,-35.35,150.4667,13.82,43,65,3.04,AU,1724859785
248,vernon,50.2581,-119.2691,13.29,73,20,0.51,CA,1724859617
249,axim,4.8699,-2.2405,25.33,80,92,3.97,GH,1724859868
250,virginia,37.5481,-77.4467,34.07,61,75,2.57,US,1724859869
251,kutum,14.2,24.6667,26.46,59,97,0.97,SD,1724859870
252,manta,-0.95,-80.7333,25.88,73,100,1.54,EC,1724859871
253,juegang,32.3174,121.1855,26.67,87,1,4.85,CN,1724859872
254,puerto cortez,15.8333,-87.95,28.61,76,22,2.48,HN,1724859874
255,emerald,-23.5333,148.1667,15.19,80,65,2.29,AU,1724859875
256,alo,6.5486,4.2686,25.97,82,100,4.64,NG,1724859876
257,newman,37.3138,-121.0208,28.02,20,0,1.29,US,1724859877
258,nikolayevsk-on-amure,53.1406,140.73,16.13,92,24,1.94,RU,1724859878
259,laramie,41.3114,-105.5911,23.09,31,0,2.57,US,1724859879
260,porto novo,6.4965,2.6036,27.9,71,87,4.95,BJ,1724859751
261,moranbah,-22.0016,148.0466,17.14,83,16,0.69,AU,1724859881
